name,begin,length,end,refseq,reverse complement,BLAST result,BLAST score,type,type support,VP1 type,VP1 type support,VP1 subgenogroup,VP1 subgenogroup support
KP341906,2445,891,3336,NC_001612,False,Picornaviridae Enterovirus A,98.765434,CV-A16,100.0,CV-A16,100.0,B1b,98.0
KP341907,2445,891,3336,NC_001612,False,Picornaviridae Enterovirus A,96.85747,CV-A16,100.0,CV-A16,100.0,B1b,88.0
KP341908,2445,891,3336,NC_001612,False,Picornaviridae Enterovirus A,96.96629,CV-A16,100.0,CV-A16,100.0,B1b,99.0
KP341909,2445,891,3336,NC_001612,False,Picornaviridae Enterovirus A,99.438835,CV-A16,100.0,CV-A16,100.0,B1b,98.0
KP341911,2445,891,3336,NC_001612,False,Picornaviridae Enterovirus A,98.9899,CV-A16,100.0,CV-A16,100.0,B1b,97.0
KP341912,2445,891,3336,NC_001612,False,Picornaviridae Enterovirus A,96.296295,CV-A16,100.0,CV-A16,100.0,B1b,93.0
KP341913,2445,891,3336,NC_001612,False,Picornaviridae Enterovirus A,98.9899,CV-A16,100.0,CV-A16,100.0,B1b,100.0
KP341914,2445,891,3336,NC_001612,False,Picornaviridae Enterovirus A,98.54097,CV-A16,100.0,CV-A16,100.0,B1b,98.0
KP341915,2445,891,3336,NC_001612,False,Picornaviridae Enterovirus A,98.765434,CV-A16,100.0,CV-A16,100.0,B1b,99.0
KP341916,2445,891,3336,NC_001612,False,Picornaviridae Enterovirus A,98.9899,CV-A16,100.0,CV-A16,100.0,B1b,99.0
KP341917,2445,891,3336,NC_001612,False,Picornaviridae Enterovirus A,97.75281,CV-A16,100.0,CV-A16,100.0,B1b,100.0
KP341918,2445,891,3336,NC_001612,False,Picornaviridae Enterovirus A,97.19417,CV-A16,100.0,CV-A16,100.0,B1b,94.0
KP341919,2445,891,3336,NC_001612,False,Picornaviridae Enterovirus A,98.428734,CV-A16,100.0,CV-A16,100.0,B1b,98.0
KP341920,2445,891,3336,NC_001612,False,Picornaviridae Enterovirus A,97.415726,CV-A16,100.0,CV-A16,100.0,B1b,99.0
KP341921,2445,891,3336,NC_001612,False,Picornaviridae Enterovirus A,98.20427,CV-A16,100.0,CV-A16,100.0,B1b,96.0
KP341922,2445,891,3336,NC_001612,False,Picornaviridae Enterovirus A,97.86757,CV-A16,100.0,CV-A16,100.0,B1b,99.0
KP341923,2445,891,3336,NC_001612,False,Picornaviridae Enterovirus A,99.55106,CV-A16,100.0,CV-A16,100.0,B1b,99.0
KP341924,2445,891,3336,NC_001612,False,Picornaviridae Enterovirus A,98.54097,CV-A16,100.0,CV-A16,100.0,B1b,99.0
KP341925,2445,891,3336,NC_001612,False,Picornaviridae Enterovirus A,99.55106,CV-A16,100.0,CV-A16,100.0,B1b,98.0
KP341926,2445,891,3336,NC_001612,False,Picornaviridae Enterovirus A,98.54097,CV-A16,100.0,CV-A16,100.0,B1b,99.0
KP341927,2445,891,3336,NC_001612,False,Picornaviridae Enterovirus A,97.75281,CV-A16,100.0,CV-A16,100.0,B1b,99.0
KP341928,2445,891,3336,NC_001612,False,Picornaviridae Enterovirus A,97.6431,CV-A16,100.0,CV-A16,100.0,B1b,95.0
KP341929,2445,891,3336,NC_001612,False,Picornaviridae Enterovirus A,98.765434,CV-A16,100.0,CV-A16,100.0,B1b,100.0
KP341930,2445,891,3336,NC_001612,False,Picornaviridae Enterovirus A,97.75281,CV-A16,100.0,CV-A16,100.0,B1b,100.0
KP341931,2445,891,3336,NC_001612,False,Picornaviridae Enterovirus A,98.6532,CV-A16,100.0,CV-A16,100.0,B1b,98.0
KP341932,2445,891,3336,NC_001612,False,Picornaviridae Enterovirus A,99.55106,CV-A16,100.0,CV-A16,100.0,B1b,98.0
KP341933,2445,891,3336,NC_001612,False,Picornaviridae Enterovirus A,97.86757,CV-A16,100.0,CV-A16,100.0,B1b,99.0
KP341934,2445,891,3336,NC_001612,False,Picornaviridae Enterovirus A,97.86757,CV-A16,100.0,CV-A16,100.0,B1b,99.0
KP341935,2445,891,3336,NC_001612,False,Picornaviridae Enterovirus A,98.428734,CV-A16,100.0,CV-A16,100.0,B1b,97.0
KP341936,2445,891,3336,NC_001612,False,Picornaviridae Enterovirus A,99.21436,CV-A16,100.0,CV-A16,100.0,B1b,99.0
KP341937,2445,891,3336,NC_001612,False,Picornaviridae Enterovirus A,97.6431,CV-A16,100.0,CV-A16,100.0,B1b,98.0
KP341938,2445,891,3336,NC_001612,False,Picornaviridae Enterovirus A,97.75281,CV-A16,100.0,CV-A16,100.0,B1b,97.0
KP341939,2445,891,3336,NC_001612,False,Picornaviridae Enterovirus A,98.6532,CV-A16,100.0,CV-A16,100.0,B1b,100.0
KP341940,2445,891,3336,NC_001612,False,Picornaviridae Enterovirus A,97.75533,CV-A16,100.0,CV-A16,100.0,B1b,98.0
KP341941,2445,891,3336,NC_001612,False,Picornaviridae Enterovirus A,97.6431,CV-A16,100.0,CV-A16,100.0,B1b,99.0
KP341942,2445,891,3336,NC_001612,False,Picornaviridae Enterovirus A,99.21436,CV-A16,100.0,CV-A16,100.0,B1b,98.0
KP341943,2445,891,3336,NC_001612,False,Picornaviridae Enterovirus A,98.6532,CV-A16,100.0,CV-A16,100.0,B1b,100.0
KP341944,2445,891,3336,NC_001612,False,Picornaviridae Enterovirus A,98.09203,CV-A16,100.0,CV-A16,100.0,B1b,100.0
KP341945,2445,891,3336,NC_001612,False,Picornaviridae Enterovirus A,99.21436,CV-A16,100.0,CV-A16,100.0,B1b,99.0
KP341946,2445,891,3336,NC_001612,False,Picornaviridae Enterovirus A,98.20427,CV-A16,100.0,CV-A16,100.0,B1b,97.0
KP341947,2445,891,3336,NC_001612,False,Picornaviridae Enterovirus A,98.6532,CV-A16,100.0,CV-A16,100.0,B1b,99.0
KP341948,2445,891,3336,NC_001612,False,Picornaviridae Enterovirus A,99.102135,CV-A16,100.0,CV-A16,100.0,B1b,98.0
KP341949,2445,891,3336,NC_001612,False,Picornaviridae Enterovirus A,97.75533,CV-A16,100.0,CV-A16,100.0,B1b,99.0
KP341950,2445,891,3336,NC_001612,False,Picornaviridae Enterovirus A,98.6532,CV-A16,100.0,CV-A16,100.0,B1b,97.0
KP341951,2445,891,3336,NC_001612,False,Picornaviridae Enterovirus A,98.09203,CV-A16,100.0,CV-A16,100.0,B1b,99.0
